"","SpecCode","predator.name","gbif.taxon.id","dietary.niche.width","Cnidaria.other","Anthozoa","Annelida.other","Polychaeta","Clitellata","Mollusca.other","Polyplacophora","Bivalvia","Gastropoda","Cephalopoda","Brachiopoda.other","Arthropoda.other","Ostracoda","Maxillopoda","Malacostraca","Insecta","Echinodermata.other","Ophiuroidea","Echinoidea","Holothuroidea","Chordata.other","Actinopterygii","Chondrichthyes","Amphibia","Reptilia","Aves","Mammalia","Plantae.other","Animalia.other","Marine","Freshwater","DietTroph","DietSeTroph","FoodTroph","FoodSeTroph","gbif.taxon.occ.count","OCClog","DNW","DNWcorr","biome"
"1:1",5,"Orthopristis chrysoptera",2382797,15,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,"-1",0,"3.42","null","3.390000105","0.4657",18735,9.83814871122779,0.555555555555556,0.169675123776424,"Marine"
"1:2",6,"Coryphaena hippurus",2381939,12,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,"-1",0,"4.37","null","4.48","0.94",15111,9.62317823441376,0.444444444444444,0.0830827321882381,"Marine"
"1:3",7,"Coryphaena equiselis",2381960,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"null","null","4.5","0.6",1359,7.21450441415114,0.0740740740740741,-0.107095791139344,"Marine"
"1:4",10,"Alectis indica",2390559,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1",0,"null","null","4.09","0.52",533,6.27852142416584,0.037037037037037,-0.105805369990889,"Marine"
"1:5",12,"Cephalopholis cruentata",2388866,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"4.25","0.56","4.16","0.73",2676,7.89207842124812,0.148148148148148,-0.0766852119339703,"Marine"
"1:6",14,"Epinephelus adscensionis",2388519,8,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,"-1",0,"3.53","0.4","3.75","0.62",1463,7.28824440102012,0.296296296296296,0.110092115791435,"Marine"
"1:7",15,"Epinephelus guttatus",2388558,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,"-1",0,"3.84","0.265","4.15","0.67",557,6.32256523992728,0.259259259259259,0.115296935560142,"Marine"
"1:8",16,"Epinephelus itajara",2388456,8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,"-1",0,"4.09","null","4.03","0.57",1117,7.0184017990692,0.296296296296296,0.127335731056684,"Marine"
"1:9",17,"Epinephelus morio",2388373,9,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"-1",0,"3.5","0.46","3.63","0.71",2047,7.62413058566129,0.333333333333333,0.124029730791609,"Marine"
"1:10",18,"Epinephelus striatus",2388300,12,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.06","null","4.03","0.0214",539,6.289715570909,0.444444444444444,0.301315512724753,"Marine"
"1:11",20,"Argentina sphyraena",5214448,13,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"null","null","3.62","0.52",378,5.93489419561959,0.481481481481481,0.348760406255032,"Marine"
"1:12",21,"Benthosema glaciale",2406057,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1",0,"null","null","2.99","0.29",4590,8.43163530305459,0.111111111111111,-0.138382124350874,"Marine"
"1:13",22,"Callionymus reticulatus",2386886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.28","0.39",713,6.5694814204143,0.037037037037037,-0.113359839478704,"Marine"
"1:14",23,"Callionymus lyra",2386906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.27","0.38",6468,8.774622220697,0.037037037037037,-0.233553978264751,"Marine"
"1:15",24,"Clupea harengus",8351946,17,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,"-1",0,"3.38","0.128","3.3","0.37",75652,11.2338991564083,0.62962962962963,0.204650322001536,"Marine"
"1:16",26,"Glyptocephalus cynoglossus",5213996,16,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,"-1",0,"3.17","0.15","3.45","0.41",31548,10.3592654745179,0.592592592592593,0.165263251164446,"Marine"
"1:17",27,"Lepidorhombus boscii",2409395,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"-1",0,"3.74","0.347","3.56","0.71",391,5.96870755998537,0.185185185185185,0.0513291512233778,"Marine"
"1:18",28,"Lepidorhombus whiffiagonis",2409391,15,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,"-1",0,"4.34","0.128","3.51","0.69",299,5.70044357339069,0.555555555555556,0.431404517061929,"Marine"
"1:19",29,"Merlangius merlangus",2415788,25,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,"-1",0,"4.36","0.184","3.57","0.74",13843,9.53553496868773,0.925925925925926,0.575115767508416,"Marine"
"1:20",30,"Merluccius merluccius",2415643,11,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,"-1",0,"4.42","null","4.3","1.01",1803,7.49720722320332,0.407407407407407,0.206597377562947,"Marine"
"1:21",31,"Micromesistius poutassou",2415777,11,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"4.13","0.301","3.700000048","0.56",743,6.61069604471776,0.407407407407407,0.255796252000213,"Marine"
"1:22",32,"Microchirus variegatus",2410108,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"null","null","3.28","0.45",419,6.03787091992214,0.222222222222222,0.0861430322268013,"Marine"
"1:23",34,"Pollachius pollachius",2415872,13,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,"-1",0,"4.32","0.26","3.91","0.71",10661,9.27434750195047,0.481481481481481,0.162016847037679,"Marine"
"1:24",36,"Agonus cataphractus",2337248,8,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"-1",0,"3.43","0.26","3.26","0.38",2249,7.71824095195932,0.296296296296296,0.0811266309664488,"Marine"
"1:25",37,"Ammodytes marinus",2389994,8,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"-1",0,"null","null","2.71","0.3",331,5.80211837537706,0.296296296296296,0.168303467971342,"Marine"
"1:26",38,"Ammodytes tobianus",2389991,9,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,"-1",0,"3.08","0.074","3.16","0.32",2222,7.70616297019958,0.333333333333333,0.118892460312017,"Marine"
