predator.name	SpecCode	gbif.taxon.id	dietary.niche.width	Cnidaria.other	Anthozoa	Annelida.other	Polychaeta	Clitellata	Mollusca.other	Polyplacophora	Bivalvia	Gastropoda	Cephalopoda	Brachiopoda.other	Arthropoda.other	Ostracoda	Maxillopoda	Malacostraca	Insecta	Echinodermata.other	Ophiuroidea	Echinoidea	Holothuroidea	Chordata.other	Actinopterygii	Chondrichthyes	Amphibia	Reptilia	Aves	Mammalia	Plantae.other	Animalia.other	Cnidaria-sub	Annelida-sub	Mollusca-sub	Arthropoda-sub	Brachiopoda-sub	Echinodermata-sub	Chordata-sub
Canthigaster figueiredoi	61201	2407732	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6							
Sebastes serranoides	4002	2335548	8	0	0	0	20	0	7	0	0	0	10	0	0	0	0	18	0	0	0	0	0	6	55	0	0	4	0	0	0	21							
Galeus melastomus	807	5215626	12	4	0	0	3	0	58	0	0	1	61	1	0	0	0	96	1	0	0	0	0	1	30	0	0	0	4	0	0	30							
Dactylobatus clarkii	7608	2420132	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0							
Lepidocephalichthys birmanicus	55612	2368049	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	3							
Myliobatis tenuicaudatus	12819	2419304	3	0	0	0	0	0	3	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Cubiceps whiteleggii	8028	2381911	6	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	3							
Microcharacidium eleotrioides	28028	2352338	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0							
Psectrogaster ciliata	56443	2355283	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0							
Chaetodontoplus melanosoma	10472	2396588	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6							
Thyrsitops lepidopoides	490	2397795	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0							
Symbolophorus boops	7298	2406148	8	0	0	0	3	0	7	0	0	2	0	0	0	0	25	23	0	0	0	0	0	5	8	0	0	0	0	0	0	3							
Boleophthalmus boddarti	4901	2378432	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	3	3							
Pomacentrus philippinus	5727	2398336	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3							
Gobio cynocephalus	46938	5207767	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	6	0	0	0	0	0	0	0							
Nandopsis tetracanthus	27741	2370536	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3							
Epinephelus fasciatus	5348	2388344	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0							
Pseudorhombus megalops	4966	2408824	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Bramocharax bransfordii	52969	2354111	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3							
Dasyatis brevis	7381	2419457	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Melanorivulus pictus	49785	7193387	5	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	72	0	0	0	0	0	0	0	0	0	0	0	17	9							
Brycon behreae	53011	2353534	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6	3							
Ctenopharynx nitidus	2212	2372512	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Xyrauchen texanus	3015	2359095	4	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3							
Seriolella violacea	13020	2398110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0							
Atypichthys latus	12227	2381269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6							
Boleophthalmus pectinirostris	15864	2378429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Coelorinchus spilonotus	52267	2416374	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
Abramis brama	268	2363408	12	1	0	0	0	0	39	0	8	4	0	0	21	4	12	18	164	0	0	0	0	0	0	0	0	16	0	0	29	64							
Liopsetta pinnifasciata	13072	2409270	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	0	0	0	0	1	12							
Pseudanthias bicolor	7874	2387565	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Plagiogeneion rubiginosum	12288	2390473	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3							
Tetrapturus angustirostris	3915	2397945	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0							
